Country|Visa|Vaccinations|Temperatures|City 
Afghanistan|Visa required|Measles, Routine vaccines, Polio, Hepatitis A, Typhoid, Cholera, Hepatitis B, Malaria, Rabies|27.9,30.7,43.3,55.0,63.1,73.0,77.0,75.4,67.5,55.6,42.6,33.1,53.8|Kabul 
Albania|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies, Yellow Fever|44.1,46.0,50.0,56.1,64.4,70.9,75.2,74.8,69.3,60.8,53.1,46.6,59.4|Tirana 
Algeria|Visa required|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Malaria, Hepatitis B, Rabies, Yellow Fever|52.2,53.4,55.0,58.5,63.9,70.3,76.3,77.4,73.8,66.9,59.4,53.8,63.3|Algiers 
Andorra|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|UNDEFINED|UNDEFINED 
Angola|17,259|Measles, Yellow Fever, Routine vaccines, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Rabies|80.1,83.3,83.5,82.8,80.6,75.0,71.8,71.8,74.3,77.4,80.1,80.4,78.4|Luanda 
Antigua and Barbuda|96,347|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|77.7,77.4,78.1,79.3,81.0,82.2,82.8,82.9,82.6,81.5,80.2,78.6,80.4|St. John's 
Argentina|Visa not required|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|76.8,74.5,71.4,64.2,58.1,53.1,51.8,55.0,58.3,64.2,69.3,73.9,64.2|Buenos Aires 
Armenia|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|25.5,32.2,43.3,55.2,63.3,72.7,79.5,79.0,70.0,56.8,43.2,31.6,54.3|Yerevan 
Australia|781,000|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Japanese Encephalitis, Rabies, Yellow Fever|72.1,72.1,70.2,65.3,59.9,55.6,54.0,56.1,59.9,64.0,67.3,70.3,63.9|Sydney 
Austria|702,900|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|32.5,34.7,42.3,51.3,60.3,65.7,69.4,68.4,59.7,50.4,41.2,34.0,50.7|Vienna 
Azerbaijan|15,178|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Malaria, Rabies|39.9,39.6,44.6,55.2,65.3,74.3,79.5,79.3,72.5,61.9,52.2,45.1,59.2|Baku 
Bahamas|1,159,259|N/A|UNDEFINED|UNDEFINED 
Bahrain|eVisa / Visa on arrival|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|63.0,64.4,70.2,77.5,86.0,90.7,93.4,93.6,90.5,84.7,76.1,66.7,79.7|Manama 
Bangladesh|Visa on arrival|Measles, Routine vaccines, Hepatitis A, Typhoid, Cholera, Hepatitis B, Japanese Encephalitis, Malaria, Rabies, Yellow Fever|65.5,71.6,79.3,83.1,83.8,84.2,83.7,84.0,83.3,81.3,75.2,68.0,78.6|Dhaka 
Barbados|168,945|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever|78.4,78.3,79.2,80.2,81.7,81.9,81.7,82.0,81.9,81.5,80.6,79.5,80.6|Bridgetown 
Belarus|Visa not required|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|23.9,24.1,32.0,45.0,55.9,61.5,65.3,63.5,53.8,43.9,33.1,25.9,44.1|Minsk 
Belgium|299,907|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|37.9,38.7,44.2,49.6,56.5,61.2,65.1,64.4,58.8,52.0,44.2,39.0,50.9|Brussels 
Belize|254,544|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Rabies, Yellow Fever, Malaria|75.2,76.8,78.6,81.1,82.9,83.3,82.6,82.8,82.4,80.6,78.1,76.1,80.1|Belize City 
Benin|eVisa|Measles, Routine vaccines, Yellow Fever, Polio, Hepatitis A, Malaria, Typhoid, Cholera, Hepatitis B, Meningitis (Meningococcal disease), Rabies|81.1,83.3,84.0,83.5,82.0,79.7,78.4,78.1,78.8,80.1,81.7,81.1,81.0|Cotonou 
Bhutan|9,220|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Japanese Encephalitis, Malaria, Rabies|UNDEFINED|UNDEFINED 
Bolivia|58,403|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|48.7,48.2,48.0,47.8,46.8,45.1,44.2,46.8,47.7,50.0,50.9,49.5,47.8|La Paz 
Bosnia and Herzegovina|25,926|Measles, Routine vaccines, Hepatitis A, Hepatitis B, Rabies|31.1,34.5,42.3,50.0,58.6,63.9,67.5,67.5,59.5,51.8,41.7,33.6,50.2|Sarajevo 
Botswana|49,451|Measles, Routine vaccines, Hepatitis A, Typhoid, Hepatitis B, Malaria, Rabies, Yellow Fever|79,77,75,70,63,55,55,63,70,73,77,77,70|Gaborone 
Brazil|475,232|Measles, Routine vaccines, Hepatitis A, Typhoid, Yellow Fever, Hepatitis B, Malaria, Rabies|79.3,79.9,78.8,75.9,73.0,71.2,70.3,71.2,72.0,73.2,75.2,77.5,74.8|Rio de Janeiro 
Brunei|Visa not required|Measles, Routine vaccines, Typhoid, Hepatitis A, Hepatitis B, Japanese Encephalitis, Rabies, Yellow Fever|UNDEFINED|UNDEFINED 
